          69          93 (2.639999682749001E-002,-5.530395616601168E-017)
          69          94 (-0.549005388853945,2.523872479427330E-016)
          69          95 (-1.372167663210736E-002,3.120970552630428E-017)
          69          96 (-0.534360454099905,-2.153413564583158E-016)
          69          97 (0.492908243973972,2.154227348888809E-016)
          69          98 (-1.013428907884086E-002,-1.014311761844638E-016)
          69          99 (0.497381509872472,-7.800564993248778E-017)
          69         100 (-8.988040603306801E-003,-9.349707720988323E-017)
          69         101 (0.495221725334118,2.730579653173190E-016)
          69         102 (-1.067019420685966E-002,1.136521533402065E-016)
          69         103 (0.493288064594650,-1.900263835131282E-016)
          69         104 (-9.565718066497477E-003,-8.979410646065218E-017)
          69         105 (-8.071892642670185E-003,3.688152997817720E-017)
          69         106 (-0.459423854471846,-2.333759169996257E-017)
          69         107 (2.439366395729699E-002,1.650051981640316E-017)
          69         108 (-0.458810699294714,2.169270209087529E-016)
          69         109 (-8.083702297460462E-003,2.524005894206454E-017)
          69         110 (-0.456021677917262,6.337999746229915E-017)
          69         111 (2.572507547104697E-002,7.864044753789900E-017)
          69         112 (-0.457453933455458,-8.694751188298520E-017)
          69         113 (0.422379535302475,-1.254921418998950E-016)
          69         114 (-9.356802034495376E-003,8.246592147950754E-017)
          69         115 (0.421332111052898,2.200160085919962E-016)
          69         116 (-9.882070672215285E-003,-1.038526315020573E-016)
          69         117 (0.420379471243441,-1.984157432288423E-016)
          69         118 (-9.703252552928306E-003,4.218217709266680E-017)
          69         119 (0.417613679640318,-1.915439193169063E-016)
          69         120 (-1.052030486268830E-002,-1.089357804336731E-016)
          69         121 (2.349106592543333E-002,4.421118206342216E-018)
          69         122 (-0.389401979763072,9.140232763663186E-017)
          69         123 (-3.226676278907792E-003,4.156159205822752E-017)
          69         124 (-0.388457406810571,-6.536659395515437E-017)
          69         125 (2.367063957846069E-002,-3.967636328930443E-017)
          69         126 (-0.386114011651863,-2.861137247061490E-017)
          69         127 (-1.744177551310177E-003,2.336363279774342E-018)
          69         128 (-0.387684365747004,7.706931658745578E-017)
          69         129 (0.356065877355894,-2.438029467696877E-016)
          69         130 (-1.365149656499229E-002,-1.071426124470456E-017)
          69         131 (0.357351655270766,-1.810799827093204E-016)
          69         132 (-1.272188145144300E-002,-6.756747934066393E-017)
          69         133 (0.354208926308314,1.383777172130869E-016)
          69         134 (-1.420390002478404E-002,8.010388387797744E-018)
          69         135 (0.353963970789084,-6.203237065214046E-017)
          69         136 (-1.328840626186113E-002,1.258406708177295E-016)
          69         137 (6.935600329039184E-003,2.410452036840969E-017)
          69         138 (-0.326514618517620,-3.361717750794146E-017)
          69         139 (2.782155007699964E-002,-3.760407874758935E-017)
          69         140 (-0.325656674456392,2.506794929229466E-017)
          69         141 (7.354472571333581E-003,2.504346699262042E-018)
          69         142 (-0.323430047688739,-3.848516645384334E-017)
          69         143 (2.907190125597110E-002,-7.581223760848928E-017)
          69         144 (-0.324805449962897,7.065295972816733E-017)
          69         145 (0.295501645307840,5.814757068847485E-017)
          69         146 (-2.447626949493473E-002,6.361179991015117E-018)
          69         147 (0.294564056957978,-5.185305224001845E-017)
          69         148 (-2.511091874610936E-002,-4.881605505833062E-018)
          69         149 (0.293696311802478,-6.501288432596562E-017)
          69         150 (-2.533582184423752E-002,-4.958114984665232E-017)
          69         151 (0.291379342653005,2.739422623137924E-017)
          69         152 (-2.580740877474854E-002,-1.267044283567983E-016)
          69         153 (4.321325417361088E-002,-3.091848536238893E-017)
          69         154 (-0.263162969115462,-4.396844510532237E-017)
          69         155 (2.693322042340092E-002,2.687111192560559E-017)
          69         156 (-0.262159505842344,-9.529129967758277E-017)
          69         157 (4.362042536623163E-002,-3.803283992091058E-017)
          69         158 (-0.260087303491833,-1.147903968870464E-016)
          69         159 (2.874351743755644E-002,3.841978862737242E-017)
          69         160 (-0.261346093029868,1.517913124613879E-016)
          69         161 (0.226034916230741,1.506372058514632E-018)
          69         162 (-4.794529814301753E-002,-6.038527121750206E-017)
          69         163 (0.227922402375468,-1.195343238424642E-016)
          69         164 (-4.760467636824799E-002,4.438191630309798E-017)
          69         165 (0.224167366718405,-1.093430852095270E-016)
          69         166 (-4.887225753518552E-002,6.981783364255647E-017)
          69         167 (0.224550869297238,-4.110124229974608E-017)
          69         168 (-4.837175821374480E-002,2.825770868842928E-017)
          69         169 (5.845744704336316E-002,4.296249308602942E-017)
          69         170 (-0.189184290807901,-1.222514006362740E-016)
          69         171 (6.850447262308379E-002,-2.431138204655612E-017)
          69         172 (-0.188204848312261,6.399700643049388E-017)
          69         173 (5.882242818792161E-002,-3.374816239589899E-017)
          69         174 (-0.185988000197472,9.431755517799236E-017)
          69         175 (6.936915642616046E-002,-2.929880243562543E-017)
          69         176 (-0.187148193308690,-3.610404503725817E-017)
          69         177 (0.145995261736686,-5.535594666756709E-017)
          69         178 (-7.148448748530359E-002,-4.478399452059447E-017)
          69         179 (0.143687944062955,-8.046045894486215E-017)
          69         180 (-7.163006400606664E-002,-2.129808776548923E-017)
          69         181 (0.144355883621175,3.896628490474507E-018)
          69         182 (-7.156193752880667E-002,1.921429562598720E-017)
          69         183 (0.141206579586574,4.881669691637451E-017)
          69         184 (-7.201112950514170E-002,-4.889582884378602E-018)
          69         185 (0.101751959329441,1.502039516718347E-017)
          69         186 (-0.126373746800999,-2.033403417618655E-018)
          69         187 (9.740790855262028E-002,2.305334028052378E-017)
          69         188 (-0.125746070100503,2.952638695918900E-017)
          69         189 (0.101357227959379,-2.063977064746961E-017)
          69         190 (-0.124974531740614,-2.035010355078546E-017)
          69         191 (9.740261990420690E-002,-2.263246479174182E-017)
          69         192 (-0.125764641965050,-1.967537893651880E-017)







          70          71 (-0.232709544882539,2.130803656516959E-017)
          70          72 (-0.571373397037866,5.499283840273560E-017)
          70          73 (-2.091859277200626E-003,2.971619355216910E-017)
          70          74 (1.943406871398998E-002,3.220146789812686E-017)
          70          75 (-1.899819960038255E-003,3.539718740466907E-017)
          70          76 (5.589332681411270E-002,-7.757532996105996E-017)
          70          77 (-0.182820120523337,1.623607430231881E-017)
          70          78 (-0.171415722963356,-2.475664814100605E-017)
          70          79 (-0.179235058890243,2.060180932887359E-017)
          70          80 (5.540836764427910E-002,-2.156202896253909E-017)
          70          81 (-3.599458291821509E-002,6.862269396482575E-017)
          70          82 (-0.489892027319240,1.527397494152476E-017)
          70          83 (-3.510055116860152E-002,2.271040469707182E-017)
          70          84 (0.541642041218245,7.677346587622376E-017)
          70          85 (5.543971349184559E-003,5.900105849884140E-017)
          70          86 (-0.544035284316680,1.109408761922934E-016)
          70          87 (6.178948894755882E-003,-8.158639257136015E-017)
          70          88 (0.540529065292401,-9.405297212289860E-017)
          70          89 (-8.644384586155837E-003,-9.434506337987353E-017)
          70          90 (3.598999304754251E-002,3.107619905317432E-017)
          70          91 (-1.018315505699277E-002,1.728468695802914E-017)
          70          92 (-1.074633161661168E-002,2.572970493554943E-017)
          70          93 (6.093850581258141E-004,-1.010064495474185E-017)
          70          94 (3.003905790868050E-002,3.495668939854521E-017)
          70          95 (-1.016383122313195E-003,-1.686003367618884E-016)
          70          96 (-1.017398637968152E-002,-3.659947921488890E-017)
          70          97 (-1.324470204705762E-002,-7.005238691059661E-017)
          70          98 (0.420966323393701,-1.138452609174124E-016)
          70          99 (-1.382539838115715E-002,-1.247757366289030E-016)
          70         100 (-0.420512175667784,6.620719875763990E-018)
          70         101 (-1.254720840624925E-002,-1.148614138949029E-016)
          70         102 (0.418789461741270,-1.911428497334788E-016)
          70         103 (-1.324778257609732E-002,-8.961071844811103E-017)
          70         104 (-0.419416127542478,-3.345666714996482E-017)
          70         105 (-2.064859962801816E-003,-1.079770279041079E-016)
          70         106 (-5.013156926714908E-003,-1.835603972729458E-017)
